position;id_category;id_product;reference;id_shop_default;ean13;price_tax_excluded;ecotax_tax_excluded;id_tax_rules_group;active;price_professionnel;price_particulier;price_professionnel_raw;price_particulier_raw;price_tax_included_particulier;price_tax_included_professionnel;name;link_rewrite;category;id_image;legend;final_price_tax_excluded;quantity
1481;12;12845;NSB-6972403826416;1;6972403826416;0.000000;0.000000;70;1;"16.66 €";"16.66 €";16.658333;16.658333;"19.99 €";"19.99 €";"Bebird Note 5 Otoscope";bebird-note-5-otoscope;"Accessoires Téléphones";29858;;0.000000;72
602;120;12843;NOP-5397184162934;1;5397184162934;0.000000;0.000000;70;1;"25.00 €";"25.00 €";25.000000;25.000000;"30.00 €";"30.00 €";"sacoche pc portable dell 14''";sacoche-pc-portable-dell-14-;Accessoires;29852;;0.000000;1
601;120;12842;NSB-4549292099096;1;4549292099096;0.000000;0.000000;70;1;"57.50 €";"57.50 €";57.500000;57.500000;"69.00 €";"69.00 €";"sac à dos back pack bp11c pour appareil photo canon";sac-a-dos-back-pack-bp11c-pour-appareil-photo-canon;Accessoires;29869;;0.000000;3
600;120;12841;NSB-786357003047;1;786357003047;0.000000;0.000000;70;1;"916.67 €";"916.67 €";916.670000;916.670000;"1,100.00 €";"1,100.00 €";"bluesound node icon";bluesound-node-icon;"Maison Connecté";29845;;0.000000;1
438;107;12840;NSB-5715063735855;1;5715063735855;0.000000;0.000000;70;1;"291.70 €";"291.70 €";291.700000;291.700000;"350.04 €";"350.04 €";"wd red pro 3.5"" 8tb, 7200 rpm, 256mb, sata iii hard drive for nas 2w11102";wd-red-pro-35-8tb-7200-rpm-256mb-sata-iii-hard-drive-for-nas-2w11102;"Disques Internes";29839;;0.000000;3
435;107;12837;NSB-718037858494;1;718037858494;0.000000;0.000000;70;1;"24.99 €";"24.99 €";24.990000;24.990000;"29.99 €";"29.99 €";"wd green 2,5"" 240gb 545mb/s";wd-green-25-240gb-545mb-s;"Disques Internes";29831;;0.000000;1
434;107;12836;NOP-5715328187436;1;5715328187436;0.000000;0.000000;70;1;"1,137.00 €";"1,137.00 €";1137.000000;1137.000000;"1,364.40 €";"1,364.40 €";"seagate 30tb, 7200rpm, 512mb, sataiii, exos m, cmr";seagate-30tb-7200rpm-512mb-sataiii-exos-m-cmr;"Disques Internes";29823;;0.000000;2
433;107;12835;NSB-8806097718956;1;8806097718956;0.000000;0.000000;70;1;"50.75 €";"50.75 €";50.750000;50.750000;"60.90 €";"60.90 €";"samsung t9 microsdxc 128 go, carte mémoire";samsung-t9-microsdxc-128-go-carte-memoire;"Cl﻿é USB";29820;;0.000000;20
431;107;12833;NSB-8806094788112;1;8806094788112;0.000000;0.000000;70;1;"41.66 €";"41.66 €";41.660000;41.660000;"49.99 €";"49.99 €";"samsung pro plus mb-md128sa - carte mémoire micro sdxc - 128 go - bleu";samsung-pro-plus-mb-md128sa-carte-memoire-micro-sdxc-128-go-bleu;"Cl﻿é USB";29872;;0.000000;220
430;107;12832;NSB-8806095811680;1;8806095811680;0.000000;0.000000;70;1;"1,147.50 €";"1,147.50 €";1147.500000;1147.500000;"1,377.00 €";"1,377.00 €";"samsung 9100 pro mz-vap8t0 - ssd - chiffré - 8 to - interne - m.2 2280 - pci";samsung-9100-pro-mz-vap8t0-ssd-chiffre-8-to-interne-m2-2280-pci;"Disques Internes";29874;;0.000000;1
428;107;12830;NSB-8806097635055;1;8806097635055;0.000000;0.000000;70;1;"64.92 €";"64.92 €";64.920000;64.920000;"77.90 €";"77.90 €";"samsung - t7 micro sd - 256gb - 170 mbit/s";samsung-t7-micro-sd-256gb-170-mbit-s;"Cl﻿é USB";29805;;0.000000;10
423;107;12821;NSB-4260557512357;1;4260557512357;0.000000;0.000000;70;1;"107.50 €";"107.50 €";107.500000;107.500000;"129.00 €";"129.00 €";"DISQUE DUR EXTERNE TOSHIBA CANVIO BASICS - 2 TO - NOIR MAT";disque-dur-externe-toshiba-canvio-basics-2-to-noir-mat;"Disque Dur Externe";29761;;0.000000;1
510;11;12820;NSB-5397184977408;1;5397184977408;0.000000;0.000000;70;1;"561.48 €";"561.48 €";561.480000;561.480000;"673.78 €";"673.78 €";"DELL PRO 15 ESSENTIEL 15.6""";dell-pro-15-essentiel-156;DELL;29758;;0.000000;1
422;107;12819;NSB-649528929952;1;649528929952;0.000000;0.000000;70;1;"335.70 €";"335.70 €";335.700000;335.700000;"402.84 €";"402.84 €";"CRUCIAL RAM DDR5 32GO 5600MHZ SODIMM, MÉMOIRE POUR ORDINATEUR PORTABLE, MINI PC";crucial-ram-ddr5-32go-5600mhz-sodimm-memoire-pour-ordinateur-portable-mini-pc;"Ram DDR5";29755;;0.000000;10
421;107;12818;NSB-649528903556;1;649528903556;0.000000;0.000000;70;1;"149.17 €";"149.17 €";149.170000;149.170000;"179.00 €";"179.00 €";"crucial ram ddr4 16go kit (2x8go) 3200mhz cl22, pc mémoire (ou 2933mhz / 2666mhz) -";crucial-ram-ddr4-16go-kit-2x8go-3200mhz-cl22-pc-memoire-ou-2933mhz-2666mhz-;"Ram DDR4";29753;;0.000000;5
420;107;12817;NSB-649528929983;1;649528929983;0.000000;0.000000;70;1;"359.10 €";"359.10 €";359.100000;359.100000;"430.92 €";"430.92 €";"crucial ram 32go kit (2x16go) ddr5 5600mhz";crucial-ram-32go-kit-2x16go-ddr5-5600mhz;"Ram DDR5";29749;;0.000000;10
419;107;12816;NSB-5715328157750;1;5715328157750;0.000000;0.000000;70;1;"183.80 €";"183.80 €";183.800000;183.800000;"220.56 €";"220.56 €";"crucial 16gb ddr5-5600 sodimm";crucial-16gb-ddr5-5600-sodimm;"Ram DDR5";29745;;0.000000;10
418;107;12815;NSB-8806094957228;1;8806094957228;0.000000;0.000000;70;1;"153.74 €";"153.74 €";153.740000;153.740000;"184.49 €";"184.49 €";"CARTE MÉMOIRE MICROSDXC SAMSUNG PRO ULTIMATE 512 GO BLEU";carte-memoire-microsdxc-samsung-pro-ultimate-512-go-bleu;"Cl﻿é USB";29736;;0.000000;10
417;107;12814;NSB-8806095420110;1;8806095420110;0.000000;0.000000;70;1;"153.74 €";"153.74 €";153.740000;153.740000;"184.49 €";"184.49 €";"CARTE MÉMOIRE MICRO SD SAMSUNG EVO PLUS 512 GO BLANC";carte-memoire-micro-sd-samsung-evo-plus-512-go-blanc;"Cl﻿é USB";29735;;0.000000;10
416;107;12813;NSB-8806095420127;1;8806095420127;0.000000;0.000000;70;1;"61.58 €";"61.58 €";61.580000;61.580000;"73.90 €";"73.90 €";"CARTE MÉMOIRE MICRO SD SAMSUNG EVO PLUS 256 GO BLANC";carte-memoire-micro-sd-samsung-evo-plus-256-go-blanc;"Cl﻿é USB";29908;;0.000000;10
415;107;12812;NSB-8806095464251;1;8806095464251;0.000000;0.000000;70;1;"39.74 €";"39.74 €";39.740000;39.740000;"47.69 €";"47.69 €";"CARTE MÉMOIRE MICRO SD SAMSUNG EVO PLUS 128 GO BLANC";carte-memoire-micro-sd-samsung-evo-plus-128-go-blanc;"Cl﻿é USB";29916;;0.000000;90
414;107;12811;NSB-27242926387;1;27242926387;0.000000;0.000000;70;1;"449.17 €";"449.17 €";449.170000;449.170000;"539.00 €";"539.00 €";"carte sd série sf-m tough 512go uhs-ii v60 u3 - sony";carte-sd-serie-sf-m-tough-512go-uhs-ii-v60-u3-sony;"Cl﻿é USB";29725;;0.000000;1
413;107;12810;NSB-9120056584895;1;9120056584895;0.000000;0.000000;70;1;"207.50 €";"207.50 €";207.500000;207.500000;"249.00 €";"249.00 €";"ANGELBIRD SDXC 256 GO UHS-II 1133X (170MB/S)";angelbird-sdxc-256-go-uhs-ii-1133x-170mb-s;"Cl﻿é USB";29719;;0.000000;1
509;11;12809;NSB-4711474981424;1;4711474981424;0.000000;0.000000;70;1;"724.03 €";"724.03 €";724.030000;724.030000;"868.84 €";"868.84 €";"acer extensa 15 ex215-57 intel core : i5 16gb/512gb";acer-extensa-15-ex215-57-intel-core-i5-16gb-512gb;Acer;29715;;0.000000;1
